ID;How much experiance you have with python?;Have you ever programmed with TDD?;Role
1;More than 3 years;Between 1 to 3 years;Software Developer
2;Less than 1 year;Between 1 to 3 years;Software Developer
3;More than 3 years;Yes, less than 1 year;Security software engineer
4;Less than 1 year;Yes, less than 1 year;DevOps engineer
5;More than 3 years;Between 1 to 3 years;Software Developer
6;Less than 1 year;Yes, less than 1 year;Software Developer
7;More than 3 years;Between 1 to 3 years;DevOps engineer
8;Less than 1 year;Yes, less than 1 year;Software Developer
9;Between 1 to 3 years;Yes, less than 1 year;Software Developer
10;Less than 1 year;More than 3 years;Software Developer
11;More than 3 years;Between 1 to 3 years;Data scientist
12;Less than 1 year;Yes, less than 1 year;Software engineering
13;Less than 1 year;Yes, less than 1 year;Software Developer
14;Less than 1 year;Yes, less than 1 year;Technial leader
15;More than 3 years;More than 3 years;Software Developer
16;Between 1 to 3 years;Yes, less than 1 year;Software Developer
