What is your ID in the experiment?;Which scenario did you work with?;How long did it take to complete the exercise?;How did you find the exercise?;For how long have you worked with TDD?;How long have you been a python developer?;What is you current role in development?;Would you like to comment something about the experiment?
1;Working alone;35;Fine with the knowledge I have;Less than 1 year;More than 3 years;Software developer/engineer or similar role;It was fun, the requirements are very broad, so maybe the assumptions can vary a bit from person to person.
2;Working alone;40min;Hard with the knowledge I have;Between 1 and 3 years;Less than 1 years;Software developer/engineer or similar role;
3;Working alone;20 min;Fine with the knowledge I have;Less than 1 year;More than 3 years;Security Software Engineer;
4;Working alone;35 minutes;Fine with the knowledge I have;Less than 1 year;Less than 1 years;DevOps engineer;maybe providing a couple of examples strings for the tests may have speedup a bit the work and clarified some requirements
5;Working alone;40 minutes;Easy with the knowledge I have;Between 1 and 3 years;More than 3 years;Software developer/engineer or similar role;Fun coding challenge
6;Working alone;1h 10m;Easy with the knowledge I have;Less than 1 year;Less than 1 years;Software developer/engineer or similar role;It took me WAY LONGER to understand what the english of the exercise meant than actually do it
7;Working alone;10min;Easy with the knowledge I have;Between 1 and 3 years;More than 3 years;DevOps;
8;Working alone;Too much :) ~1h not knowing Python;Hard with the knowledge I have;Less than 1 year;Less than 1 years;Software developer/engineer or similar role;I didn't understand the questions but after Moritz's help it was fine
9;Working alone;30min+;Easy with the knowledge I have;Less than 1 year;Between 1 and 3 years;Software developer/engineer or similar role;"1. I was too focused on writing good comprehensive code and did not look at the time. 
2. I spent to much time on the setLineWidth function
3. The auto-complete in the Browser was much slower that expected."
10;Interacting with ChatGPT as tester;30 minutes;Easy with the knowledge I have;More than 3 years;Less than 1 years;Software developer/engineer or similar role;"To be honest, the ""presence"" of the AI made me a little unsure in the beginning, because I was concerned about its behavior and if I should adapt to fit its need. Once I realized the AI would adapt to my needs (in particular my dev-flow), I think the experience went way more smoothly."
11;Interacting with ChatGPT as tester;30;Easy with the knowledge I have;Between 1 and 3 years;More than 3 years;Data scientist/engineer or similar role;The tool did not work as expected. It seemed kinda buggy, as it did not add any code to the existing file. I was expecting more from an AI tool as normally ChatGPT is able to complete such trivial tasks.
12;Interacting with ChatGPT as tester;40 min;Easy with the knowledge I have;Less than 1 year;Less than 1 years;Software Engeneering Student;
13;Interacting with ChatGPT as tester;40;Easy with the knowledge I have;Less than 1 year;Less than 1 years;Software developer/engineer or similar role;It was fun and seems like a great idea
14;Interacting with ChatGPT as tester;40 minutes;Fine with the knowledge I have;Less than 1 year;Less than 1 years;Technical leader/manager or similar role;I like the experiment, the tool seems easy to use.
15;Interacting with ChatGPT as tester;40;Fine with the knowledge I have;More than 3 years;More than 3 years;Software developer/engineer or similar role;
16;Interacting with ChatGPT as tester;20 minutes but I had extra issues so it took longer;Fine with the knowledge I have;Less than 1 year;Between 1 and 3 years;Software developer/engineer or similar role;The tool works, I enjoyed interacting with it. The colab platform wasn't that smooth
